ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID
HSA-IET-7D-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7,miRNA,TAXANE,NA,9548828
HSA-LET-7,miRNA,VINBLASTINE,DB00570,442111
HSA-LET-7,miRNA,SIROLIMUS,DB00877,5284616
HSA-LET-7,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7A-1,miRNA,CERITINIB,DB09063,57379345
HSA-LET-7A-1,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7A-2,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7A-2,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7A-2-3P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7A-3,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7A-3P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7A-3P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7A-5P,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7A-5P,miRNA,CAPECITABINE,DB01101,60953
HSA-LET-7A-5P,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7A-5P,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7A-5P,miRNA,IMATINIB,DB00619,5291
HSA-LET-7A-5P,miRNA,CYTARABINE,DB00987,6253
HSA-LET-7A-5P,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7A-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7A-5P,miRNA,EPIRUBICIN,DB00445,41867
HSA-LET-7A-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7A-5P,miRNA,PLX-4720,DB06999,24180719
HSA-LET-7A-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7A-5P,miRNA,DOCETAXEL,DB01248,148124
HSA-LET-7A-5P,miRNA,BORTEZOMIB,DB00188,387447
HSA-LET-7A-5P,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7A-5P,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7A-5P,miRNA,OSIMERTINIB,DB09330,71496458
HSA-LET-7A2,miRNA,OXALIPLATIN,DB00526,6857599
HSA-LET-7B,miRNA,DOXORUBICIN,DB00997,31703
HSA-LET-7B,miRNA,GEMCITABINE,DB00441,60750
HSA-LET-7B,miRNA,IMATINIB,DB00619,5291
HSA-LET-7B,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7B,miRNA,FLUOROURACIL,DB00544,3385
HSA-LET-7B,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7B,miRNA,PAROXETINE,DB00715,43815
HSA-LET-7B,miRNA,PACLITAXEL,DB01229,36314
HSA-LET-7B,miRNA,EPIRUBICIN,DB00445,41867
HSA-LET-7B,miRNA,SORAFENIB,DB00398,216239
HSA-LET-7B,miRNA,PLX-4720,DB06999,24180719
HSA-LET-7B,miRNA,GEFITINIB,DB00317,123631
HSA-LET-7B,miRNA,FULVESTRANT,DB00947,17756771
HSA-LET-7B,miRNA,VINCRISTINE,DB00541,5978
HSA-LET-7B,miRNA,TEMOZOLOMIDE,DB00853,5394
HSA-LET-7B,miRNA,REGORAFENIB,DB08896,11167602
HSA-LET-7B,miRNA,DABRAFENIB,DB08912,44462760
HSA-LET-7B,miRNA,OSIMERTINIB,DB09330,71496458
HSA-LET-7B-3P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7B-5P,miRNA,TAMOXIFEN,DB00675,2733525
HSA-LET-7B-5P,miRNA,PLATINUM,DB12257,23939
HSA-LET-7B-5P,miRNA,CISPLATIN,DB00515,5460033
HSA-LET-7B-5P,miRNA,DABRAFENIB,DB08912,44462760
