Drug_Name,CID
UBENIMEX,72172
THAPSIGARGIN,446378
BERBERINE,2353
DOCETAXEL,148124
COLCHICINE,2833
DIBENZIODOLIUM,3101
VALPROIC ACID,3121
FLUOROURACIL,3385
HYDROXYUREA,3657
BETA-LAPACHONE,3885
TRICHOSTATIN A,444732
PHENYTOIN,1775
AG-1478,2051
TETRAHYDROPALMATINE,72301
ANASTROZOLE,2187
ALKANNIN,72521
CYCLOPHOSPHAMIDE,2907
BORTEZOMIB,387447
METFORMIN,4091
MITOTANE,4211
HYDROGEN PEROXIDE,784
VERAPAMIL,2520
MITOXANTRONE,4212
RHAMNETIN,5281691
ETHANOL,702
ARECOLINE,2230
CARMUSTINE,2578
TRIPTOLIDE,107985
LEVETIRACETAM,5284583
LETROZOLE,3902
CAPSAICIN,1548943
Y15,78260
ARSENIC TRIOXIDE,261004
ESTRADIOL,5757
PREDNISONE,5865
CYTARABINE,6253
METHYLPREDNISOLONE,6741
PHENFORMIN,8249
SN-38,104842
PRAZIQUANTEL,4891
PROPOFOL,4943
IMATINIB,5291
VORINOSTAT,5311
DEXAMETHASONE,5743
PREDNISOLONE,5755
SIMVASTATIN,54454
LAPATINIB,208908
DAPT,5311272
CAPECITABINE,60953
CABAZITAXEL,9854073
TOPOTECAN,60699
TIVANTINIB,11494412
EXEMESTANE,60198
BLEOMYCIN,5360373
CLOPIDOGREL,60606
GEMCITABINE,60750
IRINOTECAN,60838
CYFLUMETOFEN,11496052
CANERTINIB HCL,156413
EPIGALLOCATECHIN GALLATE,65064
EPIRUBICIN HYDROCHLORIDE,65348
YUANHUADINE,6440572
TIPIFARNIB,159324
NUTLIN-3,216345
BETULINIC ACID,64971
PLATYCODIN D,162859
PINGYANGMYCIN,84046
PACLITAXEL,36314
ETOPOSIDE,36462
RIBAVIRIN,37542
LENALIDOMIDE,216326
BAICALIN,64982
CATALPOL,91520
EPIRUBICIN,41867
SORAFENIB,216239
DELTAMETHRIN,40585
1'-ACETOXYCHAVICOL ACETATE,119104
LOPINAVIR,92727
PAROXETINE,43815
HOMOHARRINGTONINE,285033
CORTISONE,222786
METHOTREXATE,126941
IMATINIB MESYLATE,123596
SARACATINIB,10302451
GEFITINIB,123631
ERLOTINIB,176870
BROMOCRIPTINE,31101
4-HYDROXYTAMOXIFEN,449459
DAUNORUBICIN,30323
DOXORUBICIN,31703
CARBOPLATIN,38904
DECITABINE,451668
TENIPOSIDE,452548
VANDETANIB,3081361
SUNITINIB,5329102
PALBOCICLIB,5330286
APICIDIN,6918328
VINBLASTINE,442111
AXITINIB,6450551
RITONAVIR,392622
DASATINIB,3062316
TRAMETINIB,11707110
CYCLOPAMINE,442972
CISPLATIN,5460033
PHA-665752,10461815
MELPHALAN,460612
LUTEOLIN,5280445
CALCITRIOL,5280453
GENISTEIN,5280961
CYCLOSPORINE,5284373
STAUROSPORINE,5459111
ASPARAGINATE,5460875
APATINIB,11315474
QUERCETIN,5280343
SIROLIMUS,5284616
TANESPIMYCIN,5458730
BETA-ELEMENE,6918391
AFATINIB,10184653
EVEROLIMUS,6442177
CHIDAMIDE,9800555
SELUMETINIB,10127622
LENVATINIB,9823820
"N-[(2R)-2,3-DIHYDROXYPROPOXY]-3,4-DIFLUORO-2-[(2-FLUORO-4-IODOPHENYL)AMINO]BENZAMIDE",9826528
TAMOXIFEN,2733525
TAXANE,9548828
ENZALUTAMIDE,15951529
BUFALIN,9547215
N-METHYL-N-NITRO-N-NITROSOGUANIDINE,9562060
SINOMENINE,5459308
PANOBINOSTAT,6918837
INSULIN,16131098
U0126,3006531
PARTHENOLIDE,6473881
PAZOPANIB,10113978
FULVESTRANT,17756771
PIRARUBICIN,11296583
METAPRISTONE,10070462
CURCUMIN,969516
AMG51,11858109
CELASTROL,12302620
PONATINIB,24826799
LEVOTHROID,23666112
DABRAFENIB,44462760
CABOZANTINIB,25102847
RUXOLITINIB,25126798
IBRUTINIB,24821094
PLX-4720,24180719
IXAZOMIB,25183872
VEMURAFENIB,42611257
QUIZARTINIB,24889392
VINORELBINE,44424639
OLAPARIB,23725625
RIBOCICLIB,44631912
XL765,49867926
BI853520,46207957
GILTERITINIB,49803313
ONVANSERTIB,49792852
DOXYCYCLINE,54671203
GSK1070916,46885626
TEMSIROLIMUS,54608508
CERITINIB,57379345
OSIMERTINIB,71496458
ALPELISIB,56649450
NEFERINE,71531543
RALTITREXED,135400182
MAFOSFAMIDE,76968809
ERIBULIN,73425383
LORLATINIB,71731823
AGRO100,145994598
4-ACETYLANTROQUINONOL B,112500518
LEPTIN,157010069
ERASTIN,11214940
PROPRANOLOL,4946
SEVOFLURANE,5206
TEMOZOLOMIDE,5394
TRETINOIN,5538
MITOMYCIN C,5746
VINCRISTINE,5978
PROGESTERONE,5994
AZACITIDINE,9444
PAEONOL,11092
SP600125,8515
STANOLONE,10635
LIGUSTRAZINE,14296
STREPTOMYCIN,19649
EPOXOMICIN,11226684
CAMPTOTHECIN,24360
SCHIZANDRIN A,23915
PLATINUM,23939
RUTHENIUM,23950
CHLORANTRANILIPROLE,11271640
ABT-737,11228183
PU-H71,9549213
SU11274,9549297
RUCAPARIB PHOSPHATE,9931953
NILOTINIB,644241
TACALCITOL,5283734
CRIZOTINIB,11626560
REGORAFENIB,11167602
FLUDARABINE,657237
QUISINOSTAT,11538455
APITOLISIB,25254071
SERDEMETAN,11609586
CARFILZOMIB,11556711
OXALIPLATIN,6857599
10-HYDROXYCAMPTOTHECIN,97226
IM156,154573779
TAE226,9934347
NERATINIB,9915743
NAVITOCLAX,24978538
VELIPARIB,11960529
JQ1,46907787
ICOTINIB,22024915
"[5-[2,4-BIS((3S)-3-METHYLMORPHOLIN-4-YL)PYRIDO[2,3-D]PYRIMIDIN-7-YL]-2-METHOXYPHENYL]METHANOL",25262965
EPOTHILONE B,57336519
ANLOTINIB,25017411
