DrugBank_ID,Drug_Name,Gene
DB00001,Lepirudin,F2
DB00002,Cetuximab,EGFR
DB00002,Cetuximab,FCGR3B
DB00002,Cetuximab,C1QA
DB00002,Cetuximab,C1QB
DB00002,Cetuximab,C1QC
DB00002,Cetuximab,FCGR3A
DB00002,Cetuximab,FCGR1A
DB00002,Cetuximab,FCGR2A
DB00003,Dornase alfa,DNASE1
DB00004,Denileukin diftitox,IL2RA
DB00004,Denileukin diftitox,IL2RB
DB00005,Etanercept,TNF
DB00005,Etanercept,LTA
DB00005,Etanercept,FCGR1A
DB00005,Etanercept,FCGR2A
DB00005,Etanercept,FCGR2B
DB00005,Etanercept,FCGR2C
DB00005,Etanercept,FCGR3A
DB00005,Etanercept,FCGR3B
DB00005,Etanercept,C1QA
DB00006,Bivalirudin,F2
DB00007,Leuprolide,GNRHR
DB00007,Leuprolide,GNRH1
DB00008,Peginterferon alfa-2a,IFNAR2
DB00008,Peginterferon alfa-2a,IFNAR1
DB00008,Peginterferon alfa-2a,IFNA2
DB00009,Alteplase,PLG
DB00009,Alteplase,FGA
DB00009,Alteplase,FGG
DB00009,Alteplase,SERPINE1
DB00010,Sermorelin,GHRHR
DB00011,Interferon alfa-n1,IFNAR1
DB00011,Interferon alfa-n1,IFNAR2
DB00012,Darbepoetin alfa,EPOR
DB00013,Urokinase,PLG
DB00013,Urokinase,PLAUR
DB00013,Urokinase,SERPINE1
DB00013,Urokinase,SERPINB2
DB00013,Urokinase,PLAU
DB00013,Urokinase,SERPINA5
DB00013,Urokinase,LRP2
DB00013,Urokinase,ST14
DB00013,Urokinase,NID1
DB00014,Goserelin,LHCGR
DB00014,Goserelin,GNRHR
DB00014,Goserelin,GNRH1
DB00015,Reteplase,PLG
DB00015,Reteplase,FGA
DB00015,Reteplase,SERPINE1
DB00016,Erythropoietin,EPOR
DB00017,Salmon calcitonin,CALCR
DB00018,Interferon alfa-n3,IFNAR1
DB00018,Interferon alfa-n3,IFNAR2
DB00019,Pegfilgrastim,CSF3R
DB00020,Sargramostim,CSF2RA
DB00020,Sargramostim,IL3RA
DB00020,Sargramostim,CSF2RB
DB00020,Sargramostim,SDC2
DB00022,Peginterferon alfa-2b,IFNAR1
DB00022,Peginterferon alfa-2b,IFNAR2
DB00022,Peginterferon alfa-2b,IFNA2
DB00024,Thyrotropin alfa,TSHR
DB00025,"Antihemophilic factor, human recombinant",F10
DB00025,"Antihemophilic factor, human recombinant",F9
DB00025,"Antihemophilic factor, human recombinant",VWF
DB00025,"Antihemophilic factor, human recombinant",PHYH
DB00025,"Antihemophilic factor, human recombinant",ASGR2
DB00025,"Antihemophilic factor, human recombinant",HSPA5
DB00025,"Antihemophilic factor, human recombinant",CALR
DB00025,"Antihemophilic factor, human recombinant",CANX
DB00025,"Antihemophilic factor, human recombinant",LMAN1
DB00025,"Antihemophilic factor, human recombinant",LRP1
DB00025,"Antihemophilic factor, human recombinant",MCFD2
DB00026,Anakinra,IL1R1
DB00027,Gramicidin D,folP
DB00028,Human immunoglobulin G,FCGR1A
DB00028,Human immunoglobulin G,FCGR1BP
DB00028,Human immunoglobulin G,FCGR2A
DB00028,Human immunoglobulin G,FCGR2B
DB00028,Human immunoglobulin G,FCGR2C
DB00028,Human immunoglobulin G,FCGR3A
DB00028,Human immunoglobulin G,FCGR3B
DB00028,Human immunoglobulin G,C3
DB00028,Human immunoglobulin G,C4A
DB00028,Human immunoglobulin G,C4B
DB00028,Human immunoglobulin G,C5
DB00029,Anistreplase,PLG
DB00029,Anistreplase,FGA
DB00029,Anistreplase,SERPINE1
DB00030,Insulin human,INSR
DB00030,Insulin human,IGF1R
DB00030,Insulin human,CPE
DB00030,Insulin human,CCN3
DB00030,Insulin human,LRP2
DB00030,Insulin human,IGFBP7
DB00031,Tenecteplase,PLG
DB00032,Menotropins,FSHR
DB00032,Menotropins,LHCGR
DB00033,Interferon gamma-1b,IFNGR1
DB00033,Interferon gamma-1b,IFNGR2
DB00034,Interferon alfa-2a,IFNAR1
DB00034,Interferon alfa-2a,IFNAR2
DB00035,Desmopressin,AVPR2
DB00035,Desmopressin,AVPR1A
DB00035,Desmopressin,AVPR1B
DB00035,Desmopressin,OXTR
DB00036,Coagulation factor VIIa Recombinant Human,F10
DB00036,Coagulation factor VIIa Recombinant Human,F3
DB00038,Oprelvekin,IL11RA
DB00039,Palifermin,FGFR2
DB00039,Palifermin,FGFR1
DB00039,Palifermin,HSPG2
DB00040,Glucagon,GCGR
DB00040,Glucagon,GLP2R
DB00040,Glucagon,GLP1R
DB00041,Aldesleukin,IL2RB
DB00041,Aldesleukin,IL2RA
DB00041,Aldesleukin,IL2RG
DB00041,Aldesleukin,IL2
DB00042,Botulinum toxin type B,VAMP2
DB00042,Botulinum toxin type B,VAMP1
DB00042,Botulinum toxin type B,SYT2
DB00043,Omalizumab,IGHE
DB00043,Omalizumab,FCER1G
DB00044,Lutropin alfa,LHCGR
DB00045,Lyme disease vaccine (recombinant OspA),TLR2
DB00046,Insulin lispro,INSR
DB00046,Insulin lispro,IGF1R
DB00047,Insulin glargine,INSR
DB00047,Insulin glargine,INS
DB00047,Insulin glargine,IGF1R
DB00048,Collagenase clostridium histolyticum,COL1A1
DB00048,Collagenase clostridium histolyticum,COL2A1
DB00048,Collagenase clostridium histolyticum,COL3A1
DB00050,Cetrorelix,GNRHR
DB00051,Adalimumab,TNF
DB00052,Somatotropin,GHR
DB00052,Somatotropin,PRLR
DB00054,Abciximab,ITGB3
DB00054,Abciximab,ITGA2B
DB00054,Abciximab,FCGR2A
DB00054,Abciximab,FCGR2B
DB00054,Abciximab,VTN
DB00055,Drotrecogin alfa,F8
DB00055,Drotrecogin alfa,F5
DB00055,Drotrecogin alfa,SERPINE1
DB00055,Drotrecogin alfa,THBD
DB00055,Drotrecogin alfa,PROS1
DB00055,Drotrecogin alfa,F2
DB00055,Drotrecogin alfa,PF4
DB00055,Drotrecogin alfa,SERPINA5
DB00055,Drotrecogin alfa,SERPINB6
DB00055,Drotrecogin alfa,PROCR
DB00056,Gemtuzumab ozogamicin,CD33
DB00056,Gemtuzumab ozogamicin,FCGR3B
DB00056,Gemtuzumab ozogamicin,FCGR3A
DB00056,Gemtuzumab ozogamicin,FCGR1A
DB00058,Alpha-1-proteinase inhibitor,ELANE
DB00060,Interferon beta-1a,IFNAR1
DB00060,Interferon beta-1a,IFNAR2
DB00060,Interferon beta-1a,IFNB1
DB00061,Pegademase,GRB2
DB00063,Eptifibatide,ITGB3
DB00063,Eptifibatide,ITGA2B
DB00063,Eptifibatide,CACNA2D1
DB00065,Infliximab,TNF
DB00066,Follitropin,FSHR
DB00067,Vasopressin,AVPR2
DB00067,Vasopressin,AVPR1A
DB00067,Vasopressin,AVPR1B
DB00067,Vasopressin,OXTR
DB00068,Interferon beta-1b,IFNAR1
DB00068,Interferon beta-1b,IFNAR2
DB00069,Interferon alfacon-1,IFNAR1
DB00069,Interferon alfacon-1,IFNAR2
DB00070,Hyaluronidase (ovine),TGFB1
DB00071,Insulin pork,INSR
DB00071,Insulin pork,IGF1R
DB00072,Trastuzumab,ERBB2
DB00073,Rituximab,MS4A1
DB00074,Basiliximab,IL2RA
DB00074,Basiliximab,IL2RB
DB00075,Muromonab,CD3D
DB00075,Muromonab,CD3E
DB00075,Muromonab,CD3G
DB00075,Muromonab,CD247
DB00075,Muromonab,FCGR3B
DB00078,Ibritumomab tiuxetan,MS4A1
DB00080,Daptomycin,folP
DB00081,Tositumomab,MS4A1
DB00081,Tositumomab,FCGR2B
DB00082,Pegvisomant,GHR
DB00083,Botulinum toxin type A,SNAP25
DB00083,Botulinum toxin type A,RHOB
DB00086,Streptokinase,PLG
DB00086,Streptokinase,F2R
DB00087,Alemtuzumab,CD52
DB00087,Alemtuzumab,FCGR3B
DB00087,Alemtuzumab,FCGR3A
DB00087,Alemtuzumab,FCGR1A
DB00087,Alemtuzumab,FCGR2A
DB00087,Alemtuzumab,FCGR2B
DB00087,Alemtuzumab,FCGR2C
DB00089,Capromab pendetide,FOLH1
DB00091,Cyclosporine,CAMLG
DB00091,Cyclosporine,PPP3R2
DB00091,Cyclosporine,PPIA
DB00091,Cyclosporine,PPIF
DB00091,Cyclosporine,PPP3CA
DB00092,Alefacept,CD2
DB00092,Alefacept,CD58
DB00092,Alefacept,FCGR3A
DB00092,Alefacept,FCGR3B
DB00093,Felypressin,AVPR1A
DB00094,Urofollitropin,FSHR
DB00095,Efalizumab,ITGAX
DB00095,Efalizumab,ITGAL
DB00097,Choriogonadotropin alfa,FSHR
DB00097,Choriogonadotropin alfa,LHCGR
DB00098,Antithymocyte immunoglobulin (rabbit),MR1
DB00098,Antithymocyte immunoglobulin (rabbit),CD86
DB00098,Antithymocyte immunoglobulin (rabbit),FCGR2B
DB00098,Antithymocyte immunoglobulin (rabbit),ITGAL
DB00098,Antithymocyte immunoglobulin (rabbit),ITGAV
DB00098,Antithymocyte immunoglobulin (rabbit),ITGB1
DB00098,Antithymocyte immunoglobulin (rabbit),ITGB3
DB00098,Antithymocyte immunoglobulin (rabbit),CD1A
DB00098,Antithymocyte immunoglobulin (rabbit),CD4
DB00099,Filgrastim,CSF3R
DB00100,Coagulation Factor IX (Recombinant),F10
DB00100,Coagulation Factor IX (Recombinant),F11
DB00100,Coagulation Factor IX (Recombinant),F7
DB00100,Coagulation Factor IX (Recombinant),F8
DB00100,Coagulation Factor IX (Recombinant),LRP1
DB00100,Coagulation Factor IX (Recombinant),GGCX
DB00102,Becaplermin,PDGFRB
DB00102,Becaplermin,PDGFRA
