miRNA,Gene
hsa-let-7a-5p,ICMT
hsa-let-7a-5p,USP24
hsa-let-7a-5p,GNG5
hsa-let-7a-5p,ZNF644
hsa-let-7a-5p,TGFBR3
hsa-let-7a-5p,TMED5
hsa-let-7a-5p,SLC25A24
hsa-let-7a-5p,NRAS
hsa-let-7a-5p,PEX11B
hsa-let-7a-5p,RGS16
hsa-let-7a-5p,EDEM3
hsa-let-7a-5p,PPP1R15B
hsa-let-7a-5p,YOD1
hsa-let-7a-5p,LPGAT1
hsa-let-7a-5p,RAB3GAP2
hsa-let-7a-5p,LBR
hsa-let-7a-5p,AHCTF1
hsa-let-7a-5p,PRDM2
hsa-let-7a-5p,EFHD2
hsa-let-7a-5p,PTPRU
hsa-let-7a-5p,TXLNA
hsa-let-7a-5p,AGO4
hsa-let-7a-5p,AGO3
hsa-let-7a-5p,PKN2
hsa-let-7a-5p,PTBP2
hsa-let-7a-5p,LRIG2
hsa-let-7a-5p,ADAM15
hsa-let-7a-5p,ERCC6
hsa-let-7a-5p,SLC16A9
hsa-let-7a-5p,WDR37
hsa-let-7a-5p,MLLT10
hsa-let-7a-5p,FAS
hsa-let-7a-5p,CCNJ
hsa-let-7a-5p,ENTPD7
hsa-let-7a-5p,SCD
hsa-let-7a-5p,HIF1AN
hsa-let-7a-5p,TPP1
hsa-let-7a-5p,LYVE1
hsa-let-7a-5p,EIF4G2
hsa-let-7a-5p,LGR4
hsa-let-7a-5p,B4GAT1
hsa-let-7a-5p,PGM2L1
hsa-let-7a-5p,KCTD21
hsa-let-7a-5p,RDX
hsa-let-7a-5p,CRY2
hsa-let-7a-5p,CLP1
hsa-let-7a-5p,STX3
hsa-let-7a-5p,SPINDOC
hsa-let-7a-5p,CHD4
hsa-let-7a-5p,GXYLT1
hsa-let-7a-5p,DDN
hsa-let-7a-5p,KMT2D
hsa-let-7a-5p,ZBTB39
hsa-let-7a-5p,NEMP1
hsa-let-7a-5p,LRIG3
hsa-let-7a-5p,NAP1L1
hsa-let-7a-5p,ATP2B1
hsa-let-7a-5p,EEA1
hsa-let-7a-5p,GOLT1B
hsa-let-7a-5p,ETNK1
hsa-let-7a-5p,ESPL1
hsa-let-7a-5p,TARBP2
hsa-let-7a-5p,HOXC11
hsa-let-7a-5p,HMGA2
hsa-let-7a-5p,VEZT
hsa-let-7a-5p,ATP2A2
hsa-let-7a-5p,ERP29
hsa-let-7a-5p,KATNAL1
hsa-let-7a-5p,STARD13
hsa-let-7a-5p,IRS2
hsa-let-7a-5p,COL4A1
hsa-let-7a-5p,NHLRC3
hsa-let-7a-5p,FNDC3A
hsa-let-7a-5p,ERO1A
hsa-let-7a-5p,ZFYVE26
hsa-let-7a-5p,KHNYN
hsa-let-7a-5p,NAA30
hsa-let-7a-5p,ARPP19
hsa-let-7a-5p,PRTG
hsa-let-7a-5p,IGDCC3
hsa-let-7a-5p,IGDCC4
hsa-let-7a-5p,NIPA1
hsa-let-7a-5p,THBS1
hsa-let-7a-5p,SNAP23
hsa-let-7a-5p,MAPK6
hsa-let-7a-5p,ARID3B
hsa-let-7a-5p,C15orf39
hsa-let-7a-5p,RAMAC
hsa-let-7a-5p,ARRDC4
hsa-let-7a-5p,IGF1R
hsa-let-7a-5p,ZNF200
hsa-let-7a-5p,SOCS1
hsa-let-7a-5p,ZNF689
hsa-let-7a-5p,KIAA0895L
hsa-let-7a-5p,NME4
hsa-let-7a-5p,CCNF
hsa-let-7a-5p,EEF2K
hsa-let-7a-5p,PDP2
hsa-let-7a-5p,PDPR
hsa-let-7a-5p,GAN
hsa-let-7a-5p,GJC1
hsa-let-7a-5p,COL1A1
hsa-let-7a-5p,COIL
hsa-let-7a-5p,LIMD2
hsa-let-7a-5p,FAM104A
hsa-let-7a-5p,NLK
hsa-let-7a-5p,CCL7
hsa-let-7a-5p,ARL4D
hsa-let-7a-5p,TBKBP1
hsa-let-7a-5p,IGF2BP1
hsa-let-7a-5p,SEC14L1
hsa-let-7a-5p,ZNF516
hsa-let-7a-5p,ARHGAP28
hsa-let-7a-5p,MIB1
hsa-let-7a-5p,GALNT1
hsa-let-7a-5p,INSR
hsa-let-7a-5p,GIPC1
hsa-let-7a-5p,CDC34
hsa-let-7a-5p,TNFSF9
hsa-let-7a-5p,PLD3
hsa-let-7a-5p,GEMIN7
hsa-let-7a-5p,E2F6
hsa-let-7a-5p,SLC5A6
hsa-let-7a-5p,MAP4K3
hsa-let-7a-5p,TIA1
hsa-let-7a-5p,SEMA4C
hsa-let-7a-5p,MGAT4A
hsa-let-7a-5p,POLR2D
hsa-let-7a-5p,RBMS1
hsa-let-7a-5p,FIGN
hsa-let-7a-5p,EPHA4
