Gene1,Gene2,Score
CD2BP2,SNRNP200,5.03045066991474
PTTG1,CDC20,4.84156424595677
GIPC1,MYO6,4.8238927947388
EIF4A2,EIF4G1,4.73933590211661
MAD2L1,CDC20,4.71454383692645
FGB,FGG,4.70736668723174
CD2BP2,PRPF8,4.69663196162248
NDUFV1,NDUFV2,4.68930975562201
ATP5F1B,ATP5F1D,4.65726944481165
LRPPRC,ARF6,4.65364053911603
SUCLG2,SUCLG1,4.63240906048807
ETFA,ETFB,4.61958289577894
DLST,OGDH,4.61458478438478
C1R,C1S,4.61341573902882
SDHA,SDHB,4.611297745773
CNOT1,CNOT8,4.61035872180872
KIF5B,YWHAG,4.61035872180872
NDUFS7,NDUFS3,4.60986619586384
SUCLG1,SUCLA2,4.60555230496898
DLST,DHTKD1,4.60180726878018
DLST,OGDHL,4.59421423298308
MRPS7,MRPS12,4.59305877737951
HRG,PLG,4.59161008963966
MCM2,MCM3,4.58635674263571
ND4,ND5,4.57934672086423
ND1,NDUFS8,4.57114427850969
ATP5F1A,ATP5F1C,4.5703789972644
TSFM,MRPS2,4.55206426707744
NDUFS1,NDUFV1,4.52683935683928
ATP5F1B,ATP5F1C,4.52150412060601
RPL17,RPS3,4.52059628247997
FEN1,PCNA,4.51493599168525
MRPL14,MRPL24,4.51003315525879
MRPL4,RPL23A,4.50963725931947
ND1,NDUFS1,4.50957003518864
C1QB,C1QC,4.49911633572507
ATP5F1A,ATP5PO,4.49685866107126
C8A,C8B,4.48154588686174
RPL13A,RPS16,4.47217903435004
MCM5,MCM7,4.46556952877273
AURKA,CDC20,4.462653812922
TAF13,TBP,4.45743788416743
MRPL24,RPL23,4.4548134378478
MRPL3,MRPL4,4.45080829332773
NDUFS2,NDUFV2,4.44694897387075
MCM3,MCM6,4.43474313446263
MRPL2,RPL23A,4.43244234754305
MRPL3,MRPS10,4.43217595763946
RPL17,RPS15,4.4284242289006
MRPL2,RPS15,4.4176364765403
MRPL3,RPS20,4.41099297547067
NDUFAB1,OXSM,4.38805698530698
RPL8,RPL23A,4.38640350254467
RPS5,RPS23,4.38565855613029
ND2,ND4,4.38333267331344
NDUFS3,NDUFV2,4.38207171641832
NDUFS1,NDUFS8,4.37656796723495
CLPX,CLPP,4.37488771543158
ATP5F1C,ATP5PO,4.37211796566798
MCM2,MCM7,4.36995448626329
RPS14,RPS18,4.36835984951108
FGA,FGG,4.3653445966696
C1QA,C1QC,4.36225813830514
MRPL22,RPS15,4.36148400368306
MRPS7,GFM2,4.35976203460743
PSMA4,PSMA6,4.3597375417085
RPL9,RPS15A,4.35949738786817
NDUFS1,NDUFV2,4.35904044576366
RPL23AP82,MRPL2,4.35869674244049
F2,SERPINC1,4.35832548883882
MRPS12,RPS5,4.3462471883835
NDUFS2,NDUFS3,4.3403583548432
HSPA4,DNAJB11,4.33942175334063
GLYAT,ACSM2A,4.33758471496069
SLC35D1,UGT1A4,4.33758471496069
CYP1A2,UGT1A1,4.33758471496069
COX1,COX2,4.33647299647846
ND2,ND5,4.33209893421697
GCSH,AMT,4.32933848050398
NDUFS7,NDUFS2,4.32572537598278
MRPL3,RPL23A,4.32081678240768
SNRPE,SNRPF,4.32030057339305
HSPA9,DNAJB11,4.31002005332004
RRM2B,RRM1,4.30711174565682
ATP5F1C,ATP5F1D,4.30449422560177
RRM1,RRM2,4.29011889294253
RPS11,RPL23,4.28475138337403
MRPS12,GFM1,4.2803000957306
PSMC3,PSMD4,4.27529784294394
FGA,FGB,4.27447815981974
RPS23,GFM2,4.2714372199124
RPL23A,RPS15,4.26974965656853
MRPL22,MRPL2,4.26796935135117
ND1,ND5,4.26783220350871
ATP5F1A,ATP5F1B,4.26346394439631
MRPS17,MRPL14,4.26342480648094
RPS3,RPS15,4.26215434652165
MRPS7,RPS23,4.25752196669348
POLR1A,POLR1B,4.25384617606983
APOB,MTTP,4.25326352016667
MRPS2,MRRF,4.25233687278455
HSPA5,DNAJB11,4.24816362220002
PLAU,PLAUR,4.24763927901062
ND1,NDUFV1,4.24717865045015
RPL23AP82,RPL8,4.24591607232282
RPL8,RPS15,4.24534779274471
MRPL13,MRPS9,4.24364090691465
ND5,NDUFS8,4.24262697025647
MRPS7,GFM1,4.24178129920776
ORC2,MCM10,4.24134987517827
POLR2A,POLR1B,4.2384696226046
ACLY,SUCLA2,4.23823037516196
ACLY,SUCLG2,4.23745896793192
DNAJA2,HSPA4,4.23517352375237
ND1,NDUFS3,4.23423439594636
RPL35,RPS15,4.2314495986359
MCM3,CDC7,4.2295661928444
MCM2,MCM5,4.22316883328566
MRPS12,GFM2,4.22195257700388
HSPA14,DNAJB11,4.21957754216399
CYTB,UQCRFS1,4.21810187014951
MRPL3,MRPL2,4.2175608778373
RPL23AP82,RPS15,4.2169473648913
GATB,QRSL1,4.21561184538981
PSME1,PSME2,4.20925897290143
RPL11,RPS15A,4.20886612332749
LSM2,SNRPE,4.2087036943122
TAF10,TAF13,4.20846995431923
NDUFS3,NDUFV1,4.2074614534809
MRPL13,RPS16,4.20624011127265
MRPL3,RPS15,4.20568821936135
RPS5,GFM2,4.2043189905964
RPL17,RPS11,4.2035413460493
ND4L,ND5,4.19566093928933
ATP5F1B,ATP5PO,4.19426131364146
HSPA4L,DNAJB11,4.19393144485359
HSPH1,DNAJB11,4.19272171413697
RPL21,RPS17,4.19233890121538
NDUFS1,NDUFS2,4.18866615649777
POLR3A,POLR1B,4.18546154831507
RPL35,RPL7,4.18323114271429
CCNA2,CDK1,4.18286088211844
HSPA6,DNAJB11,4.18226185666937
FARSB,FARS2,4.18146168525169
NDUFS2,NDUFV1,4.17917148498507
SLC35D1,UGT1A1,4.17128445851815
RPS2,RPS15A,4.1707950146044
RPL7,RPS15,4.16964231078399
MRPL18,MRPS5,4.16768076564626
NDUFS1,NDUFS3,4.16767317797761
NDUFS3,NDUFS8,4.16646736223119
RPLP2,RPS11,4.16530695161667
RPL11,MRPL24,4.1639959365435
MRPL2,MRPL4,4.16398669120407
MCAT,NDUFAB1,4.16382593331465
RPL7,RPL32,4.16285696841673
RPL23AP82,MRPL4,4.16219247753598
RPLP1,RPS20,4.16048793512848
DNAJA2,HSPA9,4.15738951503614
ND1,NDUFV2,4.15645014288073
RPL23A,RPL37,4.15449503265098
ND1,NDUFS2,4.15306732919683
MCM3,MCM7,4.15241114212501
C1QB,C1R,4.15175957935088
POLR2A,POLR2B,4.15022766340412
DNAJA1,HSPA9,4.1487948751524
RPL19,RPL27,4.14783490470839
MRPL15,RPS2,4.14753875812714
RPL4,RPS11,4.14723737624964
MRPS17,RPS15,4.14667004960134
PSMA2,PSMA4,4.14630050830643
ATP5F1D,ATP5PO,4.14628650799993
EEF1A1,RPS18,4.14422807297201
RPL7,RPS8,4.14417871351945
NDUFV1,NDUFS8,4.14331146625873
RPL38,EIF3H,4.14329496325448
RPS11,RPS17,4.14233788036066
RPLP0,RPS11,4.14225680212657
POLR1A,POLR3B,4.14188196006376
HSPA1L,DNAJB11,4.14132245837683
PDHA1,PDHB,4.14023428749345
EEF2,RPS15,4.1383862534082
RPS3A,RPS11,4.13718385023604
RPL32,RPS15,4.13435837181823
MCAT,CBR4,4.13381048684045
MRPL3,RPL23AP82,4.13223347176703
HSPA8,DNAJB11,4.13182040949552
MRPS17,MRPL24,4.13106544007497
DHFR2,TYMS,4.12954360082064
RPS3,RPS11,4.12797281782589
HSPA1A,DNAJB11,4.12707250101269
HSPA1B,DNAJB11,4.12707250101269
DHFR,TYMS,4.12705789944731
EEF1A1,RPL7,4.1268542820402
POLR3A,POLR3B,4.12605455376933
