ncRNA_Name,ncRNA_Type,Drug_Name,DrugBank_ID,CID,miRNA_ID,Drug_ID,Pair_ID,PairEvidenceCount
hsa-let-7a-5p,miRNA,DOXORUBICIN,DB00997,31703,0,89,0_89,1
hsa-let-7a-5p,miRNA,CAPECITABINE,DB01101,60953,0,48,0_48,1
hsa-let-7a-5p,miRNA,PACLITAXEL,DB01229,36314,0,67,0_67,1
hsa-let-7a-5p,miRNA,GEMCITABINE,DB00441,60750,0,55,0_55,1
hsa-let-7a-5p,miRNA,IMATINIB,DB00619,5291,0,41,0_41,1
hsa-let-7a-5p,miRNA,CYTARABINE,DB00987,6253,0,35,0_35,1
hsa-let-7a-5p,miRNA,OXALIPLATIN,DB00526,6857599,0,204,0_204,1
hsa-let-7a-5p,miRNA,CISPLATIN,DB00515,5460033,0,103,0_103,1
hsa-let-7a-5p,miRNA,EPIRUBICIN,DB00445,41867,0,73,0_73,1
hsa-let-7a-5p,miRNA,TAMOXIFEN,DB00675,2733525,0,123,0_123,1
hsa-let-7a-5p,miRNA,PLX-4720,DB06999,24180719,0,146,0_146,1
hsa-let-7a-5p,miRNA,PLATINUM,DB12257,23939,0,188,0_188,1
hsa-let-7a-5p,miRNA,DOCETAXEL,DB01248,148124,0,3,0_3,1
hsa-let-7a-5p,miRNA,BORTEZOMIB,DB00188,387447,0,17,0_17,1
hsa-let-7a-5p,miRNA,FLUOROURACIL,DB00544,3385,0,7,0_7,1
hsa-let-7a-5p,miRNA,GEFITINIB,DB00317,123631,0,84,0_84,1
hsa-let-7a-5p,miRNA,OSIMERTINIB,DB09330,71496458,0,161,0_161,1
hsa-let-7b-5p,miRNA,TAMOXIFEN,DB00675,2733525,1,123,1_123,1
hsa-let-7b-5p,miRNA,PLATINUM,DB12257,23939,1,188,1_188,1
hsa-let-7b-5p,miRNA,CISPLATIN,DB00515,5460033,1,103,1_103,1
hsa-let-7b-5p,miRNA,DABRAFENIB,DB08912,44462760,1,142,1_142,1
hsa-let-7b-5p,miRNA,VEMURAFENIB,DB08881,42611257,1,148,1_148,1
hsa-let-7b-5p,miRNA,PACLITAXEL,DB01229,36314,1,67,1_67,1
hsa-let-7b-5p,miRNA,GEFITINIB,DB00317,123631,1,84,1_84,1
hsa-let-7b-5p,miRNA,FLUOROURACIL,DB00544,3385,1,7,1_7,1
hsa-let-7b-5p,miRNA,IMATINIB,DB00619,5291,1,41,1_41,1
hsa-let-7b-5p,miRNA,SORAFENIB,DB00398,216239,1,74,1_74,1
hsa-let-7c-5p,miRNA,TAMOXIFEN,DB00675,2733525,2,123,2_123,1
hsa-let-7c-5p,miRNA,PACLITAXEL,DB01229,36314,2,67,2_67,1
hsa-let-7c-5p,miRNA,FLUOROURACIL,DB00544,3385,2,7,2_7,1
hsa-let-7c-5p,miRNA,TAXANE,,9548828,2,124,2_124,1
hsa-let-7c-5p,miRNA,CISPLATIN,DB00515,5460033,2,103,2_103,1
hsa-let-7d-5p,miRNA,CISPLATIN,DB00515,5460033,3,103,3_103,1
hsa-let-7d-5p,miRNA,TAMOXIFEN,DB00675,2733525,3,123,3_123,1
hsa-let-7d-5p,miRNA,PLATINUM,DB12257,23939,3,188,3_188,1
hsa-let-7d-5p,miRNA,IMATINIB,DB00619,5291,3,41,3_41,1
hsa-let-7d-5p,miRNA,PACLITAXEL,DB01229,36314,3,67,3_67,1
hsa-let-7d-5p,miRNA,TRAMETINIB,DB08911,11707110,3,101,3_101,1
hsa-let-7d-5p,miRNA,VEMURAFENIB,DB08881,42611257,3,148,3_148,1
hsa-let-7d-5p,miRNA,TIVANTINIB,DB12200,11494412,3,51,3_51,1
